ID,Block,Sex,Diet,Regimen,Weight,Fat_Scores_Dorsal,Fat_Scores_Pelvic,days_since_1st_trt,days_since_2nd_trt,days_since_1st_D_or_A,days_since_1st_D_inj,vax_history,blank_avg,blank_sd,cutoff_new,age_lab,Env,age_wild,repro,body_length_mm,ticks_total,fleas,mites,Testes,H_poly,Pinworms,Cestode,repro_bin,Col_5_bcen,Col_6_bcen,Col_7_bcen,Col_5_avg,Col_6_avg,Col_7_avg,OD_avg,OD,Fat_Scores_Sum,boost,ishigh,ismale,isrepro,isadult,islab,isvax,isHp,nHp
SUBJ-0017,1.0,M,High,ST,35.5,,,35.0,14.0,35.0,35.0,DD,0.076625,0.012129509,0.113013528,126.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.835375,1.462375,1.004375,1.886375,1.469375,0.995375,1.450375,1.450375,,1,1.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0017,1.0,M,High,ST,30.0,4.5,5.0,14.0,,14.0,14.0,D,0.10875,0.014801062,0.153153185,105.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,0.32625,0.18225,0.08725,0.31475,0.20475,0.08325,0.200916667,0.200916667,9.5,0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0018,1.0,M,High,PC,24.0,,,35.0,14.0,14.0,14.0,AD,0.076625,0.012129509,0.113013528,126.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.216375,0.737375,0.440375,1.194875,0.752875,0.457875,0.801875,0.801875,,0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0018,1.0,M,High,PC,22.5,3.0,4.0,17.0,,17.0,,A,0.0745,0.005042675,0.089628025,108.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,-0.0155,-0.0155,-0.0185,-0.013875,-0.013875,-0.015875,-0.014541667,0.0,7.0,0,1.0,1.0,0.0,1.0,1.0,0.0,0,0
SUBJ-0018,1.0,M,High,PC,22.5,3.0,4.0,14.0,,14.0,,A,0.118125,0.0155236,0.164695799,105.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,-0.053125,-0.046125,-0.046125,-0.0326875,-0.0271875,-0.0276875,-0.0291875,0.0,7.0,0,1.0,1.0,0.0,1.0,1.0,0.0,0,0
SUBJ-0019,1.0,F,Low,SC,18.5,3.0,3.0,14.0,,14.0,14.0,D,0.06375,0.005650537,0.080701612,114.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.30525,0.87625,0.57425,1.30225,0.88325,0.57175,0.919083333,0.919083333,6.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0019,1.0,F,Low,SC,20.0,,,35.0,14.0,35.0,35.0,DA,0.12075,0.053742109,0.281976327,135.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.81825,2.71225,2.52525,2.7738125,2.6903125,2.4783125,2.647479167,2.647479167,,0,0.0,0.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0019,1.0,F,Low,SC,18.5,3.0,3.0,17.0,,17.0,17.0,D,0.4355,0.13659429,0.845282869,117.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.3085,1.7875,1.1065,2.2721875,1.7391875,1.1891875,1.733520833,1.733520833,6.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0019,1.0,F,Low,SC,18.5,4.0,3.0,22.0,1.0,22.0,22.0,DA,0.5945,0.209919713,1.224259138,122.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.4295,2.0045,2.2665,2.55775,2.03525,2.23975,2.277583333,2.277583333,7.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0020,1.0,F,Low,ST,17.0,3.0,3.0,14.0,,14.0,14.0,D,0.0785,0.005154748,0.093964244,115.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.4055,2.3175,1.8525,2.4579375,2.3744375,1.8769375,2.2364375,2.2364375,6.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0020,1.0,F,Low,ST,17.0,3.0,4.0,22.0,1.0,22.0,22.0,DD,0.4355,0.13659429,0.845282869,123.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.8745,2.6885,2.3815,2.8456875,2.6841875,2.3801875,2.6366875,2.6366875,7.0,1,0.0,0.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0020,1.0,F,Low,ST,17.5,,,35.0,14.0,35.0,35.0,DD,0.4355,0.13659429,0.845282869,136.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,3.2465,3.1515,2.8525,3.1281875,3.0336875,2.7671875,2.976354167,2.976354167,,1,0.0,0.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0020,1.0,F,Low,ST,17.0,3.0,3.0,17.0,,17.0,17.0,D,0.5945,0.209919713,1.224259138,118.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.5935,2.3305,2.1235,2.63225,2.40425,2.16375,2.400083333,2.400083333,6.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0021,1.0,F,Low,PC,20.0,,,35.0,14.0,14.0,14.0,AD,0.085875,0.035686882,0.192935647,136.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.697125,1.279125,0.728125,1.6879375,1.2554375,0.7284375,1.2239375,1.2239375,,0,0.0,0.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0022,1.0,F,Low,ST,22.0,,,35.0,14.0,35.0,35.0,DD,0.0685,0.01011364,0.09884092,98.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.5295,2.4265,2.5615,2.4918125,2.4283125,2.5378125,2.485979167,2.485979167,,1,0.0,0.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0023,1.0,F,Low,PC,21.0,3.0,4.0,17.0,,17.0,,A,0.069,0.007309485,0.090928455,87.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,0.035,0.007,-0.002,0.036125,0.008625,0.003125,0.015958333,0.0,7.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0,0
SUBJ-0023,1.0,F,Low,PC,20.0,,,35.0,14.0,14.0,14.0,AD,0.070125,0.006174545,0.088648634,105.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.589875,1.096875,0.666875,1.573125,1.083125,0.660125,1.105458333,1.105458333,,0,0.0,0.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0023,1.0,F,Low,PC,20.0,3.0,4.0,22.0,1.0,1.0,1.0,AD,0.12075,0.053742109,0.281976327,92.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,-0.04375,-0.03575,-0.04775,-0.0316875,-0.0151875,-0.0311875,-0.026020833,0.0,7.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0,0
