"","Plate","Measure","Row","Col_5","Col_6","Col_7","Blank","ID","Block","Sex","Diet","Treatment","Weight","Fat_Scores_Dorsal","Fat_Scores_Pelvic","days_since_1st_trt","days_since_2nd_trt","trt_history","blank_avg","blank_sd","cutoff_new","Env","grid","body_length_mm","Col_5_bcen","Col_6_bcen","Col_7_bcen","Col_5_avg","Col_6_avg","Col_7_avg","OD_avg","days_since_1st_D_inj"
"394",13,1,"B",2.077,1.455,0.921,0.063,NA,NA,NA,NA,"Pos.Ctrl",NA,NA,NA,NA,NA,"Pos.Ctrl",0.0595,0.004213075,0.072139225,"Wild",NA,NA,2.0175,1.3955,0.8615,1.97225,1.39275,0.85575,1.40691666666667,NA
"395",13,1,"C",0.051,0.051,0.052,0.053,836622795,NA,"F","High",NA,26,2,2,NA,NA,NA,0.0595,0.004213075,0.072139225,"Wild",1,90,-0.0085,-0.0085,-0.0075,-0.00775,-0.00825,-0.00375,-0.00658333333333333,NA
"396",13,1,"D",0.056,0.053,0.054,0.054,835346074,NA,"M","High","AD",26,2,2,12,NA,"A",0.0595,0.004213075,0.072139225,"Wild",1,80,-0.0035,-0.0065,-0.0055,-0.00325,-0.00575,-0.00275,-0.00391666666666667,NA
"397",13,1,"E",0.056,0.052,0.068,0.056,835319552,NA,"M","Low","AD",19.5,2,2,20,0,"A",0.0595,0.004213075,0.072139225,"Wild",3,83,-0.0035,-0.0075,0.00850000000000001,-0.000749999999999997,-0.00475,0.01075,0.00175,NA
"398",13,1,"F",2.902,2.365,2.013,0.063,841108291,NA,"F","Low","DD",22.5,2,3,33,14,"DD",0.0595,0.004213075,0.072139225,"Wild",4,86,2.8425,2.3055,1.9535,2.79975,2.22075,1.88725,2.30258333333333,33
"399",13,1,"G",2.799,2.178,1.601,0.06,841090031,NA,"M","Low","DD",15,2,3,34,14,"DD",0.0595,0.004213075,0.072139225,"Wild",3,70,2.7395,2.1185,1.5415,2.66775,2.11075,1.57625,2.11825,34
"400",13,1,"H",0.068,0.061,0.061,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0595,0.004213075,0.072139225,"Wild",NA,NA,0.00850000000000001,0.0015,0.0015,0.01275,0.00725,0.00325,0.00775,NA
"401",14,1,"A",2.304,1.7,1.016,0.065,NA,NA,NA,NA,"Pos.Ctrl",NA,NA,NA,NA,NA,"Pos.Ctrl",0.063375,0.004922842,0.078143527,"Wild",NA,NA,2.240625,1.636625,0.952625,2.22775,1.56175,0.94925,1.57958333333333,NA
"402",14,1,"B",2.095,1.577,0.961,0.058,NA,NA,NA,NA,"Pos.Ctrl",NA,NA,NA,NA,NA,"Pos.Ctrl",0.063375,0.004922842,0.078143527,"Wild",NA,NA,2.031625,1.513625,0.897625,2.01875,1.46925,0.87975,1.45591666666667,NA
"403",14,1,"C",1.115,0.673,0.403,0.061,841104851,NA,"M","Low","DA",20,3,3,34,15,"DA",0.063375,0.004922842,0.078143527,"Wild",3,87,1.051625,0.609625,0.339625,1.06425,0.58825,0.32875,0.660416666666667,34
